BusinessID,anurag,alisa,dixin,ronnie (haining),minyi,anthony,vignesh,alex,tuan ,yuxuan,bingjie,xiaoran,ruixuan,hongbo,chen,jimmy,keerat,yulin
3A148000,50963.83296,2587600,592044,203103.06,3997582.372,1880096.318,1914.01,649256.29,2321.71636,1288618.2,307184.8841,348532.7429,50977.84713,42184.56106,48216.22487,127330.3338,5000,42326
5A148118,11226.05391,533800,143708,79827.375,3997582.372,2729690.073,98070.09,133911.44,2932.252777,1048111.94,54764.66124,73740.83958,36630.31887,47921.58084,63337.24287,276309338.7,149116.7402,36671
2A148176,64272.37118,3481480,715432,693815.5,3997582.372,919505.3345,7181.81,685368.66,5058.453309,1288087.9,418005.9937,468537.8209,29750.11873,91000.48858,48070.23114,252933.2998,162560.5799,34907
3A148283,26162.37228,1000,342005.8,80650.17,3997582.372,3556277.805,1701.5,322535.27,2420.066553,1295696.8,167299.5856,201262.635,26215.23037,56731.50607,25468.59774,162761.4528,5000,52783
9A148284,20661.50266,2026000,520875,131040.94,3997582.372,2794989.242,6837.82,484354.99,3618.499465,1233788.5,250370.0188,257356.1196,48091.77263,89107.40889,28117.90771,12344.91233,1160000,23234
6A148295,1250,2609920,513812.3,234743.44,3997582.372,1903950.272,6577.02,666747.6,2520.17335,1179428.9,309788.0789,349265.2984,40087.9799,49509.00806,28328.44519,388181.6584,255836.4524,46082
7A148428,1250,1973080,396607.2,336069.53,3997582.372,2831220.233,1412875.2,419906.27,5045.667515,1353597,234821.7272,259518.6162,23510.25653,93790.46075,26676.59869,4724481.23,5000,35218
2A148469,1250,3855880,975498.8,340574.2,3997582.372,2374486.74,2285.47,984681.49,2984.97566,1539392,465267.3123,485803.5696,45377.33285,72044.3996,40074.89941,532856.2215,5000,49187
1A148489,58207.44117,4452760,1043690.4,981471.06,1947501.827,2333981.876,2526733,1118670.73,6396.573033,1421521.2,540111.1555,629336.4988,24146.99732,44702.85013,25864.59568,2264046.586,5000,54830
8A148602,12229.39562,1000,299691.2,211669.55,3997582.372,3128016.026,1772.32,335317.27,1729.213061,1080292.6,150229.4677,169225.2842,43173.94975,46680.54355,29297.10577,1254697.248,943100,80429
